st_vozlisc,cas
6,6.876005500089378e-07
8,4.480003553908318e-07
10,7.073998858686537e-07
12,8.759998308960348e-07
14,4.364002961665392e-07
16,5.810004950035364e-07
18,7.084003300406039e-07
20,5.16599538968876e-07
22,5.9080048231408e-07
24,7.554001058451831e-07
26,5.464004061650485e-07
28,5.069996404927224e-07
30,8.591996447648853e-07
32,7.538001227658242e-07
34,7.757997082080692e-07
36,7.468006515409797e-07
38,7.006005034781993e-07
40,8.098002581391484e-07
42,5.347996193449944e-07
44,7.278002158273012e-07
46,5.442001565825194e-07
48,5.440000677481294e-07
50,6.298003427218646e-07
52,7.449998520314693e-07
54,8.501992851961404e-07
56,8.167997293639929e-07
58,6.822003342676907e-07
60,9.040006261784583e-07
62,1.033999433275312e-06
64,9.278002835344523e-07
66,1.015399902826175e-06
68,1.0475996532477438e-06
70,9.905998012982309e-07
72,1.234200317412615e-06
74,9.269999281968921e-07
76,9.212002623826266e-07
78,1.0030002158600836e-06
80,1.107400021282956e-06
82,1.0348005162086337e-06
84,1.188799797091633e-06
86,7.169997843448072e-07
88,7.725997420493514e-07
90,8.096001693047584e-07
92,1.014999725157395e-06
94,7.025999366305769e-07
96,7.989998266566545e-07
98,8.538001566193997e-07
100,8.103997970465571e-07
